,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
14,chainlink,link,Chainlink,https://coin-images.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1696502009,12.76,8168479775,15,12801253942,771224487.0,14.21,12.73,-0.7045501601964528,-5.23218,-445511355.1779442,-5.17195,638099971.4505637,1000000000.0,1000000000.0,52.7,-75.70394,2021-05-10T00:13:57.214Z,0.148183,8540.11474,2017-11-29T00:00:00.000Z,,2025-04-03T12:06:57.221Z
15,usds,usds,USDS,https://coin-images.coingecko.com/coins/images/39926/large/usds.webp?1726666683,0.999919,8001107057,16,8001107057,17686787.0,1.0,0.999272,-0.000193698122116337,-0.01937,-26705081.542798042,-0.33266,8002577464.227082,8002577464.227082,,1.057,-5.42912,2024-10-29T05:40:51.197Z,0.948265,5.44718,2024-10-03T13:19:28.826Z,,2025-04-03T12:06:57.557Z
16,stellar,xlm,Stellar,https://coin-images.coingecko.com/coins/images/100/large/fmpFRHHQ_400x400.jpg?1735231350,0.256928,7929460990,17,12882390035,246893510.0,0.275709,0.25495,-0.010012134323191868,-3.7507,-297629034.3022289,-3.61767,30777458030.30096,50001786892.81792,50001786892.81792,0.875563,-70.58041,2018-01-03T00:00:00.000Z,0.00047612,54000.90511,2015-03-05T00:00:00.000Z,,2025-04-03T12:06:56.247Z
17,wrapped-steth,wsteth,Wrapped stETH,https://coin-images.coingecko.com/coins/images/18834/large/wstETH.png?1696518295,2144.76,7725843853,18,7725843853,24240887.0,2313.5,2138.01,-88.14994519741913,-3.94775,-337870967.6761589,-4.19002,3594118.460627573,3594118.460627573,,7256.02,-70.37645,2022-05-13T15:09:54.509Z,558.54,284.84099,2022-05-13T01:36:45.053Z,,2025-04-03T12:06:58.866Z
18,avalanche-2,avax,Avalanche,https://coin-images.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,18.02,7503612228,19,8166779488,514894967.0,19.81,17.83,-1.1483053385120776,-5.99171,-485534816.9183712,-6.07743,414907394.021577,451576799.5796649,720000000.0,144.96,-87.52459,2021-11-21T14:18:56.538Z,2.8,545.63007,2020-12-31T13:15:21.540Z,,2025-04-03T12:07:02.586Z
19,sui,sui,Sui,https://coin-images.coingecko.com/coins/images/26375/large/sui-ocean-square.png?1727791290,2.23,7273747320,20,22380878739,1628895200.0,2.52,2.24,-0.20798715072516183,-8.51376,-668229174.5301971,-8.41389,3249982900.458887,10000000000.0,10000000000.0,5.35,-58.17816,2025-01-04T22:56:18.063Z,0.364846,512.86977,2023-10-19T10:40:30.078Z,,2025-04-03T12:06:57.592Z
20,shiba-inu,shib,Shiba Inu,https://coin-images.coingecko.com/coins/images/11939/large/shiba.png?1696511800,1.206e-05,7110728585,21,7113794043,314634549.0,1.287e-05,1.198e-05,-2.4788797364e-07,-2.01464,-142885061.52845955,-1.96985,589250687955123.8,589504715812913.0,,8.616e-05,-85.98126,2021-10-28T03:54:55.568Z,5.6366e-11,21428231.80695,2020-11-28T11:26:25.838Z,,2025-04-03T12:06:54.425Z
21,hedera-hashgraph,hbar,Hedera,https://coin-images.coingecko.com/coins/images/3688/large/hbar.png?1696504364,0.15868,6713082109,22,7950116045,371067975.0,0.177306,0.158406,-0.007238465907677488,-4.36267,-304823563.1260538,-4.34351,42220025920.63747,50000000000.0,50000000000.0,0.569229,-72.05113,2021-09-15T10:40:28.318Z,0.00986111,1513.33807,2020-01-02T17:30:24.852Z,,2025-04-03T12:06:58.588Z
22,litecoin,ltc,Litecoin,https://coin-images.coingecko.com/coins/images/2/large/litecoin.png?1696501400,82.35,6253098606,23,6253180690,663606224.0,87.78,81.24,0.00346772,0.00421,15045043.0,0.24118,75703839.48347135,75704833.23347135,84000000.0,410.26,-79.89674,2021-05-10T03:13:07.904Z,1.15,7079.01827,2015-01-14T00:00:00.000Z,,2025-04-03T12:07:02.154Z
23,mantra-dao,om,MANTRA,https://coin-images.coingecko.com/coins/images/12151/large/OM_Token.png?1696511991,6.32,6101948681,24,11469210183,108751650.0,6.44,6.15,0.02021395,0.32089,-16065950.692080498,-0.2626,965413130.4999995,1814588533.42,,8.99,-29.44079,2025-02-23T01:52:21.073Z,0.01726188,36628.3465,2023-10-12T17:25:09.068Z,,2025-04-03T12:07:01.841Z
