,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
52,aave,aave,Aave,https://coin-images.coingecko.com/coins/images/12645/large/aave-token-round.png?1720472354,150.21,2275422068,53,2411595244,378976108.0,166.35,149.92,-8.09650526952845,-5.11433,-115486394.37155533,-4.83023,15096543.739738174,16000000.0,16000000.0,661.69,-77.20794,2021-05-18T21:19:59.514Z,26.02,479.5333,2020-11-05T09:20:11.928Z,,2025-04-03T12:07:00.868Z
53,blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,https://coin-images.coingecko.com/coins/images/36291/large/blackrock.png?1711013223,1.0,1944517701,54,1944517701,0.0,1.0,1.0,0.0,0.0,8172943.0,0.42208,1944517700.919999,1944517700.919999,,1.0,0.0,2025-02-12T05:00:10.912Z,1.0,0.0,2025-02-12T05:45:10.196Z,,2025-04-03T12:00:18.125Z
54,cosmos,atom,Cosmos Hub,https://coin-images.coingecko.com/coins/images/1481/large/cosmos_hub.png?1696502525,4.31,1916217602,55,1916217602,162448382.0,4.55,4.16,-0.027797761066650217,-0.64031,-8372067.7263298035,-0.43501,443251294.129227,443251294.129227,,44.45,-90.27711,2022-01-17T00:34:41.497Z,1.16,272.53584,2020-03-13T02:27:44.591Z,"{'times': 42.13507192890694, 'currency': 'usd', 'percentage': 4213.507192890694}",2025-04-03T12:06:56.327Z
55,vechain,vet,VeChain,https://coin-images.coingecko.com/coins/images/1167/large/VET.png?1742383283,0.0213251,1837419534,56,1837419534,72680526.0,0.02369072,0.02129923,-0.00135351552673214,-5.96824,-115259792.78023362,-5.90265,85985041177.0,85985041177.0,86712634466.0,0.280991,-92.40135,2021-04-19T01:08:21.675Z,0.00191713,1013.72154,2020-03-13T02:29:59.652Z,"{'times': 3.167447086478851, 'currency': 'eth', 'percentage': 316.7447086478851}",2025-04-03T12:06:58.465Z
56,official-trump,trump,Official Trump,https://coin-images.coingecko.com/coins/images/53746/large/trump.png?1737171561,8.96,1793625715,57,8968129624,917008375.0,10.64,8.96,-1.3478619119354285,-13.07757,-267065035.6913867,-12.95998,199999976.636,1000000000.0,1000000000.0,73.43,-87.77608,2025-01-19T11:50:34.806Z,4.29,109.20016,2025-01-18T03:40:29.231Z,,2025-04-03T12:07:04.091Z
57,lombard-staked-btc,lbtc,Lombard Staked BTC,https://coin-images.coingecko.com/coins/images/39969/large/LBTC_Logo.png?1724959872,82787.0,1763075378,58,1763075378,14726417.0,87434.0,81780.0,-1864.340497111989,-2.20236,-43017798.81712985,-2.38182,21268.69582502783,21268.69582502783,,114576.0,-27.51007,2025-02-04T01:47:44.052Z,52119.0,59.35696,2024-09-06T21:01:52.094Z,,2025-04-03T12:07:01.485Z
58,bittensor,tao,Bittensor,https://coin-images.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,203.79,1749669517,59,4298961415,137261000.0,235.59,203.81,-21.742553033219906,-9.64047,-184230363.6959145,-9.52637,8546962.0,21000000.0,21000000.0,757.6,-73.04553,2024-03-07T18:45:36.466Z,30.83,562.36988,2023-05-14T08:57:53.732Z,,2025-04-03T12:07:02.885Z
59,fasttoken,ftn,Fasttoken,https://coin-images.coingecko.com/coins/images/28478/large/lightenicon_200x200.png?1696527472,4.03,1736359255,60,3514768394,50602260.0,4.09,3.96,-0.003276770105888893,-0.08128,4370744.0,0.25235,430162537.0,870742437.0,1000000000.0,4.09,-1.50959,2025-04-02T20:15:55.922Z,0.398142,912.76057,2023-01-21T10:15:39.503Z,,2025-04-03T12:06:56.720Z
60,filecoin,fil,Filecoin,https://coin-images.coingecko.com/coins/images/12817/large/filecoin.png?1696512609,2.67,1735220880,61,5254403458,190308986.0,2.88,2.66,-0.10093139967359477,-3.6369,-67579989.52501988,-3.74861,647135072.0,1959582667.0,1959583681.0,236.84,-98.86679,2021-04-01T13:29:41.564Z,2.48,8.33605,2025-03-11T01:10:57.279Z,,2025-04-03T12:06:56.758Z
61,render-token,render,Render,https://coin-images.coingecko.com/coins/images/11636/large/rndr.png?1696511529,3.17,1644768357,62,1691660936,340389841.0,3.79,3.16,-0.32163380383258167,-9.2095,-172144864.92831087,-9.47458,517716590.0562826,532476763.3362826,,13.53,-76.4997,2024-03-17T16:30:24.636Z,0.03665669,8576.97809,2020-06-16T13:22:25.900Z,,2025-04-03T12:06:53.321Z
62,ethena,ena,Ethena,https://coin-images.coingecko.com/coins/images/36530/large/ethena.png?1711701436,0.30716,1624190504,63,4608994630,312686613.0,0.378065,0.306525,-0.046203398167408705,-13.07531,-248900822.5959127,-13.28824,5285937500.0,15000000000.0,,1.52,-79.75165,2024-04-11T13:15:15.057Z,0.195078,57.53166,2024-09-06T21:04:48.253Z,,2025-04-03T12:06:56.825Z
63,kaspa,kas,Kaspa,https://coin-images.coingecko.com/coins/images/25751/large/kaspa-icon-exchanges.png?1696524837,0.061729,1606022874,64,1609904802,98061763.0,0.068414,0.0618,-0.00447337218082746,-6.75713,-113896203.54726195,-6.62218,25900045779.39798,25962648945.00819,28704026601.0,0.207411,-70.19834,2024-08-01T00:40:47.164Z,0.00017105,36036.85234,2022-05-26T14:42:59.316Z,,2025-04-03T12:07:01.112Z
64,celestia,tia,Celestia,https://coin-images.coingecko.com/coins/images/31967/large/tia.jpg?1696530772,2.73,1601268186,65,3049545675,118385113.0,3.19,2.73,-0.31914051609169114,-10.46963,-180335648.15790105,-10.1221,584318047.263137,1112808328.766775,,20.85,-86.89849,2024-02-10T14:30:02.495Z,2.08,31.11488,2023-10-31T15:14:31.951Z,,2025-04-03T12:07:04.093Z
65,polygon-ecosystem-token,pol,POL (ex-MATIC),https://coin-images.coingecko.com/coins/images/32440/large/polygon.png?1698233684,0.182237,1579678422,66,1899444620,135474139.0,0.19949,0.181476,-0.012868673729987234,-6.59574,-109857276.65128493,-6.50222,8642618653.609846,10392099602.65342,,1.29,-85.82988,2024-03-13T18:55:06.692Z,0.181476,0.53589,2025-04-03T11:05:48.105Z,,2025-04-03T12:07:02.937Z
66,algorand,algo,Algorand,https://coin-images.coingecko.com/coins/images/4380/large/download.png?1696504978,0.173475,1483301554,67,1483727602,113813054.0,0.195084,0.173346,-0.01267822976701427,-6.81063,-108212982.11043477,-6.79937,8535016637.026206,8537468143.966734,10000000000.0,3.56,-95.11908,2019-06-20T14:51:19.480Z,0.087513,98.61729,2023-09-11T19:42:08.247Z,"{'times': -0.9277186178106837, 'currency': 'usd', 'percentage': -92.77186178106837}",2025-04-03T12:07:01.208Z
67,sonic-3,s,Sonic (prev. FTM),https://coin-images.coingecko.com/coins/images/38108/large/200x200_Sonic_Logo.png?1734679256,0.445385,1420065179,68,1420065179,227116464.0,0.519323,0.445908,-0.04767951385013991,-9.67004,-151923585.4488871,-9.66442,3175000000.0,3175000000.0,,1.029,-56.72567,2025-01-04T21:35:44.705Z,0.359647,23.87064,2025-02-03T02:11:37.229Z,,2025-04-03T12:07:02.758Z
68,arbitrum,arb,Arbitrum,https://coin-images.coingecko.com/coins/images/16547/large/arb.jpg?1721358242,0.299698,1388286034,69,3006305951,214351045.0,0.336123,0.298119,-0.023084758266587013,-7.15178,-106801288.29282975,-7.14348,4617913336.0,10000000000.0,10000000000.0,2.39,-87.42317,2024-01-12T12:29:59.231Z,0.298119,0.83959,2025-04-03T11:06:17.713Z,,2025-04-03T12:07:02.783Z
69,kucoin-shares,kcs,KuCoin,https://coin-images.coingecko.com/coins/images/1047/large/sa9z79.png?1696502152,10.33,1294693829,70,1475887304,225499.0,10.93,10.31,-0.5079019871869974,-4.68795,-61187623.863049984,-4.51276,125043917.8513356,142543917.8513356,,28.83,-64.18552,2021-12-01T15:09:35.541Z,0.342863,2911.48636,2019-02-07T00:00:00.000Z,,2025-04-03T12:07:03.313Z
70,solv-btc,solvbtc,Solv Protocol SolvBTC,https://coin-images.coingecko.com/coins/images/36800/large/solvBTC.png?1719810684,82612.0,1218541264,71,1294257208,3439065.0,87549.0,82295.0,-1730.0602726585494,-2.05125,-22409051.603331327,-1.8058,14735.97798078977,15651.62073838976,21000000.0,108929.0,-24.10534,2025-01-20T07:17:19.296Z,49058.0,68.5186,2024-08-05T06:28:45.311Z,,2025-04-03T12:06:59.338Z
71,eos,eos,EOS,https://coin-images.coingecko.com/coins/images/738/large/CG_EOS_Icon.png?1731705232,0.787061,1193459692,72,1652243940,606388208.0,0.848847,0.783526,-0.008089971376713523,-1.01741,-16788337.72896695,-1.38718,1516885789.1746,2100000000.0,2100000000.0,22.71,-96.54101,2018-04-29T07:50:33.540Z,0.402746,95.05592,2024-11-04T21:55:59.771Z,"{'times': -0.20498840449731365, 'currency': 'usd', 'percentage': -20.498840449731365}",2025-04-03T12:06:59.989Z
72,fetch-ai,fet,Artificial Superintelligence Alliance,https://coin-images.coingecko.com/coins/images/5681/large/ASI.png?1719827289,0.422654,1105325768,73,1151803121,120925861.0,0.47323,0.422161,-0.02690136970779955,-5.98399,-67728336.78523731,-5.77368,2604959126.672,2714493896.672,2714493896.672,3.45,-87.71413,2024-03-28T17:21:18.050Z,0.00816959,5094.53119,2020-03-13T02:24:18.347Z,"{'times': 3.874902379070473, 'currency': 'usd', 'percentage': 387.4902379070473}",2025-04-03T12:06:57.317Z
73,story-2,ip,Story,https://coin-images.coingecko.com/coins/images/54035/large/Transparent_bg.png?1738075331,4.24,1099389978,74,4253056586,100339043.0,4.61,4.14,0.099446,2.4039,25730294.0,2.3965,259030619.25,1002075608.13,,7.31,-41.82096,2025-02-26T16:11:25.410Z,1.0,325.36923,2025-02-14T03:11:08.309Z,,2025-04-03T12:06:55.631Z
74,optimism,op,Optimism,https://coin-images.coingecko.com/coins/images/25244/large/Optimism.png?1696524385,0.67248,1093622547,75,2898165072,211717045.0,0.753785,0.673356,-0.0579440826718588,-7.93293,-92258212.19622397,-7.77972,1620705846.0,4294967296.0,4294967296.0,4.84,-86.08506,2024-03-06T08:35:50.817Z,0.402159,67.61593,2022-06-18T20:54:52.178Z,,2025-04-03T12:07:03.542Z
75,binance-peg-weth,weth,Binance-Peg WETH,https://coin-images.coingecko.com/coins/images/39580/large/weth.png?1723006716,1792.1,1085468355,76,1085468355,56283443.0,1932.92,1785.73,-73.98847761237857,-3.96491,-48675905.19607592,-4.29186,604999.999959841,604999.999959841,,4098.26,-56.25245,2024-12-06T20:27:27.286Z,1775.96,0.95329,2025-03-30T22:12:35.885Z,,2025-04-03T12:07:03.107Z
76,maker,mkr,Maker,https://coin-images.coingecko.com/coins/images/1364/large/Mark_Maker.png?1696502423,1256.38,1065424367,77,1098489998,92580469.0,1415.33,1257.21,-117.5631057208434,-8.55664,-96487588.5239433,-8.30421,844647.1752433225,870860.9477583012,1005577.0,6292.31,-79.95145,2021-05-03T21:54:29.333Z,168.36,649.30875,2020-03-16T20:52:36.527Z,,2025-04-03T12:07:02.446Z
77,kelp-dao-restaked-eth,rseth,Kelp DAO Restaked ETH,https://coin-images.coingecko.com/coins/images/33800/large/Icon___Dark.png?1702991855,1861.06,1055927079,78,1055927079,1516072.0,2018.59,1859.27,-78.53932298049153,-4.04926,-44522194.98557782,-4.04582,566268.4733223729,566268.4733223729,,4216.2,-55.8103,2024-12-06T20:31:16.142Z,1854.35,0.47347,2025-03-31T00:45:32.471Z,,2025-04-03T12:07:01.173Z
78,jupiter-exchange-solana,jup,Jupiter,https://coin-images.coingecko.com/coins/images/34188/large/jup.png?1704266489,0.367404,1047404062,79,2577643265,119797956.0,0.422258,0.36432,-0.03291076221469191,-8.22122,-91580386.31146109,-8.04053,2844383333.32,6999978145.684532,10000000000.0,2.0,-81.5953,2024-01-31T15:02:47.304Z,0.36432,1.03648,2025-04-03T11:05:48.552Z,,2025-04-03T12:07:00.861Z
79,nexo,nexo,NEXO,https://coin-images.coingecko.com/coins/images/3695/large/CG-nexo-token-200x200_2x.png?1730414360,1.028,1028593770,80,1028593770,14474787.0,1.094,1.023,-0.031102175927779863,-2.93727,-30905755.25779307,-2.91701,1000000000.0,1000000000.0,1000000000.0,4.07,-74.70659,2021-05-12T14:37:47.535Z,0.04515276,2178.77161,2018-09-13T00:00:00.000Z,"{'times': 9.27777867781825, 'currency': 'usd', 'percentage': 927.777867781825}",2025-04-03T12:07:03.399Z
80,xdce-crowd-sale,xdc,XDC Network,https://coin-images.coingecko.com/coins/images/2912/large/xdc-icon.png?1696503661,0.065074,1024103872,81,2477721090,42807584.0,0.068211,0.06479,-0.001822338893251174,-2.72414,-26511305.160656333,-2.52341,15699208698.15,37982729642.7,,0.192754,-66.15137,2021-08-21T04:39:48.324Z,0.00039532,16404.33712,2019-07-22T00:00:00.000Z,"{'times': 3.831681057416964, 'currency': 'eth', 'percentage': 383.1681057416964}",2025-04-03T12:06:58.594Z
81,usdt0,usdt0,USDT0,https://coin-images.coingecko.com/coins/images/53705/large/usdt0.jpg?1737086183,0.998063,969824985,82,969824985,111097312.0,1.016,0.986725,-0.002368240867745564,-0.23672,5783536.0,0.59993,970596941.900138,970596941.900138,,1.052,-5.00042,2025-01-23T22:34:53.341Z,0.975737,2.42837,2025-02-28T01:35:58.101Z,,2025-04-03T12:06:57.676Z
82,quant-network,qnt,Quant,https://coin-images.coingecko.com/coins/images/3370/large/5ZOu7brX_400x400.jpg?1696504070,66.14,964085542,83,968614040,45997078.0,70.99,65.31,-2.390643497823717,-3.48841,-32528170.05793035,-3.26387,14544176.164091088,14612493.0,14612493.0,427.42,-84.49339,2021-09-11T09:15:00.668Z,0.215773,30616.83675,2018-08-23T00:00:00.000Z,"{'times': 14.883636459807672, 'currency': 'eth', 'percentage': 1488.3636459807672}",2025-04-03T12:07:04.562Z
83,movement,move,Movement,https://coin-images.coingecko.com/coins/images/39345/large/movement-testnet-token.png?1721878759,0.392102,961610962,84,3924942703,90944837.0,0.411415,0.37422,-0.004958296729679956,-1.24875,-13373213.430291533,-1.37163,2450000000.0,10000000000.0,10000000000.0,1.45,-72.94899,2024-12-10T04:05:51.093Z,0.37422,4.80515,2025-04-02T23:06:17.131Z,,2025-04-03T12:07:02.742Z
84,binance-staked-sol,bnsol,Binance Staked SOL,https://coin-images.coingecko.com/coins/images/40132/large/bnsol.png?1725968367,120.2,938383632,85,938383632,10338597.0,138.4,120.33,-10.931980893635199,-8.3367,-84089586.99546123,-8.22414,7793484.194148338,7793484.194148338,,297.96,-59.38414,2025-01-19T11:30:53.744Z,118.29,2.30251,2025-03-11T01:11:46.882Z,,2025-04-03T12:07:02.558Z
85,worldcoin-wld,wld,Worldcoin,https://coin-images.coingecko.com/coins/images/31069/large/worldcoin.jpeg?1696529903,0.724737,892072563,86,7276628361,198652861.0,0.800064,0.714883,-0.056230467579775234,-7.20011,-64891149.99466407,-6.78094,1225942178.855156,10000000000.0,10000000000.0,11.74,-93.82533,2024-03-10T00:10:42.330Z,0.708589,2.30813,2025-03-11T01:11:28.418Z,,2025-04-03T12:06:58.183Z
86,rocket-pool-eth,reth,Rocket Pool ETH,https://coin-images.coingecko.com/coins/images/20764/large/reth.png?1696520159,2024.23,882576608,87,882576608,2703021.0,2181.5,2015.92,-87.86164645713689,-4.15993,-37462250.17648542,-4.07181,435099.1871605638,435099.1871605638,,4814.31,-57.86924,2021-12-01T08:03:50.749Z,887.26,128.60236,2022-06-18T20:55:45.957Z,,2025-04-03T12:06:53.083Z
87,blockstack,stx,Stacks,https://coin-images.coingecko.com/coins/images/2069/large/Stacks_Logo_png.png?1709979332,0.566399,862479881,88,862479881,51813919.0,0.631867,0.56335,-0.03333503676322158,-5.5583,-51238238.70691824,-5.60766,1519817952.06903,1519817952.06903,1818000000.0,3.86,-85.33782,2024-04-01T12:34:58.342Z,0.04559639,1142.62875,2020-03-13T02:29:26.415Z,"{'times': 3.7199954338276284, 'currency': 'usd', 'percentage': 371.99954338276285}",2025-04-03T12:07:03.230Z
88,usual-usd,usd0,Usual USD,https://coin-images.coingecko.com/coins/images/38272/large/USD0LOGO.png?1716962811,0.997681,860882804,89,860882804,25594535.0,0.998257,0.997394,0.00016656,0.0167,-11151378.605545163,-1.27878,862880993.7721267,862880993.7721267,,1.33,-24.74306,2024-07-12T08:28:59.311Z,0.976415,2.178,2025-01-20T17:07:15.786Z,,2025-04-03T12:06:56.516Z
89,dexe,dexe,DeXe,https://coin-images.coingecko.com/coins/images/12713/large/DEXE_token_logo.png?1696512514,15.02,859768640,90,1452997263,35533279.0,15.3,14.17,0.729941,5.10916,43003893.0,5.26515,57103774.56313077,96504599.33609451,,32.38,-53.45236,2021-03-08T13:29:57.935Z,0.671563,2144.40053,2020-11-06T19:31:40.144Z,,2025-04-03T12:06:55.568Z
90,binance-bridged-usdc-bnb-smart-chain,usdc,Binance Bridged USDC (BNB Smart Chain),https://coin-images.coingecko.com/coins/images/35220/large/USDC.jpg?1707919050,0.999491,849804897,91,849804897,55167862.0,1.012,0.99337,-0.001292303799662498,-0.12913,-315642.0445545912,-0.03713,848999999.8398039,848999999.8398039,,1.031,-3.02938,2024-03-05T20:15:29.285Z,0.942892,6.03822,2024-12-05T22:30:25.440Z,,2025-04-03T12:07:02.477Z
91,immutable-x,imx,Immutable,https://coin-images.coingecko.com/coins/images/17233/large/immutableX-symbol-BLK-RGB.png?1696516787,0.469453,844260978,92,941816831,51097112.0,0.531148,0.463025,-0.03942461753677212,-7.74737,-68822715.82214558,-7.53739,1792834764.3898141,2000000000.0,2000000000.0,9.52,-95.05375,2021-11-26T01:03:01.536Z,0.378055,24.55337,2022-12-31T07:36:37.649Z,,2025-04-03T12:07:01.541Z
92,bonk,bonk,Bonk,https://coin-images.coingecko.com/coins/images/28600/large/bonk.jpg?1696527587,1.075e-05,834053181,93,957155203,182879949.0,1.265e-05,1.076e-05,-1.293595158672e-06,-10.74442,-101628173.59453905,-10.86141,77419592329436.58,88846331668601.27,88846448578292.69,5.825e-05,-81.53936,2024-11-20T04:01:06.465Z,8.6142e-08,12383.22328,2022-12-29T22:48:46.755Z,,2025-04-03T12:07:03.580Z
93,polygon-bridged-usdt-polygon,usdt,Polygon Bridged USDT (Polygon),https://coin-images.coingecko.com/coins/images/35023/large/USDT.png?1707233644,0.998651,814799795,94,814799795,25210781.0,1.004,0.994396,-0.001745342235997427,-0.17447,477396.0,0.05862,814870995.976455,814870995.976455,,1.027,-2.64682,2024-04-14T06:51:56.926Z,0.945933,5.67412,2024-12-05T22:30:30.789Z,,2025-04-03T12:07:04.287Z
94,flare-networks,flr,Flare,https://coin-images.coingecko.com/coins/images/28624/large/FLR-icon200x200.png?1696527609,0.01303064,799042917,95,1350354392,13158745.0,0.01369574,0.01278472,-0.000271007959967505,-2.0374,-14782469.377817988,-1.81642,61105926456.57217,103266863891.2623,,0.150073,-91.30432,2023-01-10T03:14:05.921Z,0.00827405,57.72038,2023-10-19T03:35:41.663Z,,2025-04-03T12:06:57.110Z
95,injective-protocol,inj,Injective,https://coin-images.coingecko.com/coins/images/12882/large/Other_200x200.png?1738782212,8.15,798598732,96,817171233,90104311.0,9.05,8.13,-0.4540035216215461,-5.2768,-41874652.63321173,-4.98227,97727220.33,100000000.0,,52.62,-84.46131,2024-03-14T15:06:22.124Z,0.657401,1143.77094,2020-11-03T16:19:30.576Z,,2025-04-03T12:07:00.171Z
96,sei-network,sei,Sei,https://coin-images.coingecko.com/coins/images/28205/large/Sei_Logo_-_Transparent.png?1696527207,0.161352,789595741,97,1617241583,132566359.0,0.177153,0.160791,-0.010616590882865096,-6.17357,-52001341.55146229,-6.17889,4882361111.0,10000000000.0,,1.14,-85.82765,2024-03-16T02:30:23.904Z,0.095364,69.37753,2023-10-19T08:05:30.655Z,,2025-04-03T12:07:02.122Z
97,the-graph,grt,The Graph,https://coin-images.coingecko.com/coins/images/13397/large/Graph_Token.png?1696513159,0.080912,774668628,98,875226573,53902535.0,0.089755,0.080758,-0.005892476114119957,-6.7882,-56130798.74300587,-6.75624,9548531509.16547,10788004319.0,10788004319.0,2.84,-97.1436,2021-02-12T07:28:45.775Z,0.052051,55.93284,2022-11-22T10:05:03.503Z,,2025-04-03T12:06:57.016Z
98,theta-token,theta,Theta Network,https://coin-images.coingecko.com/coins/images/2538/large/theta-token-logo.png?1696503349,0.769255,769864199,99,769864199,32550870.0,0.849618,0.766302,-0.03305941199325613,-4.12051,-32867070.96550548,-4.09441,1000000000.0,1000000000.0,1000000000.0,15.72,-95.09965,2021-04-16T13:15:11.190Z,0.04039979,1806.74482,2020-03-13T02:24:16.483Z,"{'times': 4.128365795309906, 'currency': 'usd', 'percentage': 412.8365795309906}",2025-04-03T12:06:56.403Z
99,tether-gold,xaut,Tether Gold,https://coin-images.coingecko.com/coins/images/10481/large/Tether_Gold.png?1696510471,3119.76,769559947,100,769559947,47362545.0,3179.01,3120.25,-21.10515302951262,-0.67195,-5178943.243205905,-0.66848,246524.33,246524.33,,3190.62,-2.19749,2025-04-01T00:42:40.216Z,1447.84,115.52823,2020-03-19T13:45:41.821Z,,2025-04-03T12:06:56.423Z
